2017-07-03 23:42:23,288 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip2
2017-07-03 23:42:23,313 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip2
2017-07-03 23:42:23,335 |xer_default_products |DocumentIndexer               |I| DocumentIndexer_default_products: indexed Lucene document: productId:dropShip3
2017-07-03 23:42:24,976 |main                 |EntitySaxReader               |I| Finished 67 values from file:/home/mspl/Documents/new/ofbiz.16.11/specialpurpose/ecommerce/data/DemoTreeContent.xml
2017-07-03 23:42:24,976 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/mspl/Documents/new/ofbiz.16.11/specialpurpose/ecommerce/data/DemoTestSurveyData.xml
2017-07-03 23:42:24,979 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2017-07-03 23:42:26,383 |main                 |EntitySaxReader               |I| Finished 247 values from file:/home/mspl/Documents/new/ofbiz.16.11/specialpurpose/ecommerce/data/DemoTestSurveyData.xml
2017-07-03 23:42:26,384 |main                 |EntitySaxReader               |I| Beginning import from URL: file:/home/mspl/Documents/new/ofbiz.16.11/specialpurpose/ecommerce/data/DemoProductAdditionalViewData.xml
2017-07-03 23:42:26,390 |main                 |EntitySaxReader               |I| Transaction Timeout set to 2 hours (7200 seconds)
2017-07-03 23:42:26,396 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:26,446 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [50] milliseconds
2017-07-03 23:42:26,447 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,471 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [24] milliseconds
2017-07-03 23:42:26,471 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProductKeywords, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,582 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexProductKeywords] finished in [111] milliseconds
2017-07-03 23:42:26,582 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexProduct, triggered by rule on Entity: ProductContent
2017-07-03 23:42:26,588 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
2017-07-03 23:42:26,602 |main                 |ServiceDispatcher             |T| Sync service [entity-default/indexContentKeywords] finished in [14] milliseconds
2017-07-03 23:42:26,606 |main                 |EntityEcaRule                 |I| Running Entity ECA Service: indexContentKeywords, triggered by rule on Entity: Content
